question,conversation,turn_specific_sequence_id
What's the best aisle to find organic produce?,conversation_1,1
Can you recommend a reliable brand for washing machines?,conversation_2,1
Do you have any discounts on winter jackets?,conversation_3,1
Where can I find allergy medication?,conversation_4,1
Which section has the latest smartphones?,conversation_5,1
Could you suggest some skincare products for sensitive skin?,conversation_6,1
What's the best brand for laundry detergent?,conversation_7,1
Do you have any recommendations for formal attire?,conversation_8,1
Is there a section for gluten-free products?,conversation_9,1
Where can I find HDMI cables?,conversation_10,1
What's the best aisle to find organic produce?,conversation_11,1
Can you recommend a reliable brand for washing machines?,conversation_12,1
Do you have any discounts on winter jackets?,conversation_13,1
Where can I find allergy medication?,conversation_14,1
Which section has the latest smartphones?,conversation_15,1
Could you suggest some skincare products for sensitive skin?,conversation_16,1
What's the best brand for laundry detergent?,conversation_17,1
Do you have any recommendations for formal attire?,conversation_18,1
Is there a section for gluten-free products?,conversation_19,1
Where can I find HDMI cables?,conversation_20,1
What's the best aisle to find organic produce?,conversation_21,1
Can you recommend a reliable brand for washing machines?,conversation_22,1
Do you have any discounts on winter jackets?,conversation_23,1
Where can I find allergy medication?,conversation_24,1
Which section has the latest smartphones?,conversation_25,1
Could you suggest some skincare products for sensitive skin?,conversation_26,1
What's the best brand for laundry detergent?,conversation_27,1
Do you have any recommendations for formal attire?,conversation_28,1
Is there a section for gluten-free products?,conversation_29,1
Where can I find HDMI cables?,conversation_30,1
What's the best aisle to find organic produce?,conversation_31,1
Can you recommend a reliable brand for washing machines?,conversation_32,1
Do you have any discounts on winter jackets?,conversation_33,1
Where can I find allergy medication?,conversation_34,1
Which section has the latest smartphones?,conversation_35,1
Could you suggest some skincare products for sensitive skin?,conversation_36,1
What's the best brand for laundry detergent?,conversation_37,1
Do you have any recommendations for formal attire?,conversation_38,1
Is there a section for gluten-free products?,conversation_39,1
Where can I find HDMI cables?,conversation_40,1
What's the best aisle to find organic produce?,conversation_41,1
Can you recommend a reliable brand for washing machines?,conversation_42,1
Do you have any discounts on winter jackets?,conversation_43,1
Where can I find allergy medication?,conversation_44,1
Which section has the latest smartphones?,conversation_45,1
Could you suggest some skincare products for sensitive skin?,conversation_46,1
What's the best brand for laundry detergent?,conversation_47,1
Do you have any recommendations for formal attire?,conversation_48,1
Is there a section for gluten-free products?,conversation_49,1
Where can I find HDMI cables?,conversation_50,1
What's the best aisle to find organic produce?,conversation_51,1
Can you recommend a reliable brand for washing machines?,conversation_52,1
Do you have any discounts on winter jackets?,conversation_53,1
Where can I find allergy medication?,conversation_54,1
Which section has the latest smartphones?,conversation_55,1
Could you suggest some skincare products for sensitive skin?,conversation_56,1
